text,label
text,0
@quadre_ don't be mad cuz I'm right 😒,0
RT @atarhednv: god is so so so good.,0
RT @nazziecrazy: @xthugmani  u be fakein Lls,0
"Thanks for all the memories Saturnians .......:))

hope will never forget each and everyone of us....:))",0
I think this is the latest del has ever stayed up!!,0
Suspected drug dealer shot dead in S China http://t.co/05f2oxHKeX,0
RT @CallOut4: New study shows that politically liberal states have healthier residents on average http://t.co/SeM1a6CuwA http://t.co/RCn1pO…,0
@ItssMariahh talk about me next!,0
WATCH MOVIE: WATCH: Highlights at MYX Music Awards: Watch the big winners at Myx Music Awards. S... http://t.co/JMZvDHZ5CW DON'T MISS IT,0
RT @ikissedari: let's cuddle and makeout.,0
@jason_mraz my boobs are so big you can squeeze them&lt;3,0
Just posted a photo http://t.co/FYJKawP5eZ,0
RT @Marissa_Nero: Fuck my feelings as long as your happy right?,1
"@justinbieber I should mention ""shots"" for you to follow me or notice me? ok, then ""DOWLAND SHOTS"" i love you so much.,",0
RT @QueenBishD: Selling this House of Dereon handbag 👜 lowest price $6500 http://t.co/S65gaFPlPU,0
"I've had a perfectly wonderful evening, but this wasn't it. - Groucho Marx",0
"@justinbieber Please follow me, i love you with all my heart",0
My doctors said if I would of waiting another week I wouldn't have made it😩😒wake up call or nah,0
@LOHANTHONY why won't you add me back on snapchat,0
I thought my updated and interesting Squidoo lens…… http://t.co/1lDCrPZWGR,0
RT @TopRetweetMax: ➡️ RETWEET ➡️ ONLY ➡️ IF ➡️ YOU ➡️ FOLLOW ➡️ BACK ➡️ #TeamRetweet (Follow ➡️ @TopRetweetPro) 51.87,0
"RT @NeedyJai: #OneDirectionAnd5sosWonFollowParty
 #5soswonfollowparty

👑rt
👑follow me (@needyjai)
👑follow all who rt'ed
👑sit back and cry b…",0
RT @simaran_patel: @jjjeeefff3 I'm not sure if you're capable of staying up that long 😉,0
I'm funnier than Kevin Hart,0
RT @Nashgrier: Everything that shines ain't always gunna be gold,0
"RT @ImThatGentleman: Choose me or lose me. I'm not a backup plan, and definitely not a second choice.",0
"@oscarthegrouchz haha i was fucking with you too, i don't understand a damn word in spanish xD i copy off a cholo",1
@ImJustDrea_ bitch we don't pop beans !,1
@justinbieber here's to never getting noticed,0
RT @GB_FollowBack: #RETWEET THIS! FOLLOW ME &amp; EVERYONE ELSE THAT RETWEETS THIS FOR 90+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed #…,0
RT @Sarahh_Watson: BEST NIGHT OF MY LIFE,0
I Be Lying So Quick &amp; Not Thinking Twice About It .,0
RT @MBFacts8: What's worse than the Friend Zone? You're about to find out. http://t.co/IEtv4W05Vc http://t.co/r0drVBG4ef,0
@Humor4Rhetoric Hahaha I wouldn't be surprised,0
RT @justinbieber: @pixaconha thank u,0
Unf bby brought me apple juice for our movie. 😻💕,0
@Imaginedragons I meet you on Tuesday in Mexico lol I was so so weird sorry 😂😂😂,0
@ONGAHH Wah!like that la! So bad! :'(,0
RT @justinbieber: @AlwaysMSFTSrep your turn.,0
Wow! Its a cruelly cute ;)RT@SRK_PC_MyWorld: @iamsrk hehe :D my cute dracula. :P come n drink my blood??? Haha ^_^,0
“@nvtegod: “@TreStilGookin: White girls after they get some black dick 😂😂 http://t.co/mlANdx28Qa” LMAO” 😂😂😂,1
