text,label
text,0
If you don't follow someone you can find out so much about them if you check what they favorite.,0
I just want to be outside listening to bomb music.,0
I just got rejected....,0
"RT @tat3rt0t_: 23 cutie with a booty ayyyy ma 😏 lol I'm so glad how close we've gotten this year. I love our adventures and becoming ""missi…",0
RT @UberFacts: A strawberry isn’t a berry but a banana is.,0
RT @OverItAll_: Not sleepy at all.. Thinking about a lot..😔,0
Biggest regret: not bringing a sweater along,0
if I at so me your its not that and,0
Ain makn any noise 🔕 😩,0
"@SassyE from antm, right?",1
#Halo #PoseN #REVOLT #MTV #JimiJames @mrwowjones key2c mistergoff themajorlook1 This night... http://t.co/M0AwjDTrG5,0
RT @randfish: I wonder if Facebook brand reach reduction will make Twitter &amp; Google+ more popular as places consumers connect w/ brands the…,0
"RT @mrspooja74: Don't ever be afraid to show who you really are, because as long as you are happy with yourself, no one else's opinion matt…",0
"I have completed the quest 'Flower Fragrance' in the #iPhone game The Tribez. http://t.co/KjXrx9XpOO #iphonegames, #gameinsight",0
"RT @SportsCenter: Knicks introduce Phil Jackson as team president and beat Pacers, 92-86. Carmelo's 34 Pts lead NY to 7th straight win. htt…",0
RT @ArianaGrande: just to clarify... unfortunately 'don't be gone too long' is delayed for real this time but (to be continued next tweet..…,0
RT @smilesbeauty19: so proud to be a raven today and everyday. #ravenssoarravensscore,0
Minute left yay,0
@monsecaastro okay i will chill just like the juice pouch in my fridge waiting for me,0
New at RRND: Three hours of media waterboarding http://t.co/EdrzO41Dfd,0
“@maariiaells: if you ask me how i'm doing i would say im doing just fine”,0
Ariana's cover of Emotions thoooo 🙌 them whistle notes higher than the heavens 😍,0
RT @lucy_sweetheart: The bad times make the good times better,0
"""@djhomicide: Get her some wine ..They love wine 😈🌚🍷"" and by 'they' he means bitches.",1
Snap chat rn 👅,0
"If he misses you, he’ll call. If he wants you, he’ll say it. If he cares, he’ll show it. And if not, he can’t be worth your time.",0
@JaredWaves Jared knows what's up 😌,0
"RT @Slaughter535: We've been going over the same thing in Spanish for two weeks and I still have no idea how to do any of it.
#readytofail",0
"RT @JValtierrez07: From now on my days will consist of schoolwork, workouts, and getting sleep. Fvck all the extra stuff, it's unnecessary …",1
RT @B_Dixon702: @RTNBA Gilbert Arenas sighting 😂 http://t.co/NLzDB29Qt4,0
The Daily Reporter - Real life crime drama: New York City night court is a must-see tourist stop http://t.co/tS8YzVskMT,0
Just so that y'all know. 😍 #theoriginalbae  @JusttheMotion22 http://t.co/3FH0x9rRf8,0
"RT @_itsfreakingout: You tell me about your past, thinking your future was me.",0
"The Daily Reporter - Despite opposition, many landowners await pipeline http://t.co/31BODScWe4",0
“@Nikkkkkaye: @briantheclutch6 wdym occasionally! U mean always 👊” who are you hitting?? 💪,0
"That moment when you would give anything just to be back in his arms, see his smile, hold his hand, kiss his lips http://t.co/LP1af2CAjJ",0
why is it so hard 😫,0
Grown-up,0
RT @History_Pics: Young Emma Watson http://t.co/0wkUggV19R,0
night👾,0
@ShinoBeenTrill @Melvins_Panda You didn't see shit!,1
“@NotWorldStar: relationship goals http://t.co/I7R75VhiOX” this will be use but yours will be a truck @AnthonyAndreott ☺️,0
"RT @swaveyx: Don't worry bout 
who wants me 
I want you",0
Lizzie McGuire is on disney channel right now im lowkey happy,0
@JamaniP34 Nothing! Dummy,0
