text,label
text,0
all over my face,0
RT @WhennBoys: It is harder to fall asleep at night when you miss someone.,0
"RT @BestofVirgo: #Virgo's are nice people but if you get on their shit list, you might as well be invisible b/c they can also be very cold …",1
@Hunter_Henning ugh nothing hbu,0
The beginning of the video shows how she's left to death while her management and team only seek the money..... #GUY,0
RT @ThatBoySmoove_: S/O to the bout that action hoes man y'all know the deal straight sex bitch,1
RT @5SOS_Updates: life's a tangled web of cell phone calls and hashtag i dont knows,0
@baphomite yeah man for sure!,0
RT @lnsaneTweets: If someone ever sent me this... 😍💖 http://t.co/Mj7g4qmlgl,0
RT @KeithN0Sweat_: My first child 👶 got to be your first child 👪,0
RT @TheAliff__: Don't judge me based on what you heard.,0
RT @LilFoxx400: @4Trill4z @soufside_dessy Dnt Say Nun 4 Let Ha Do Ha,0
"""@Trillprincess_: I can't stand Compton kids ill beat this lil boy ass , like boy your not even in your 2 digits hollering ""cuhz""""...",1
Excavation the surmount wanderings composition in passage to thy in good odor eschatology for the decrepitate a...,0
@DJJohnDouglas How come?,0
@aznpersuasionx  blowing up my Twitter feed haha,0
"RT @The3rdEyeSight: The booty is so powerful 
#BootyHadMeLike http://t.co/SfjpAsEFtW",0
@_Lalourdes my name 😂 lol but aww,0
Have you heard ‘When I Was Your Man - By Safira’ by Safira||Singer on #SoundCloud? https://t.co/xqK0Kp2esY,0
RT @hello_meli: who's up rn? rt if you are and fav if you want a crabby patty🍔,0
I'm an idiot,0
"in all honesty , you can't make a person do right by you. they have to want to .",0
"In Ankara representing the UK Treasury at a meeting of the G20 macro working group 

http://t.co/nNPqpijAUl",0
They are there???? #소녀시대미스터미스터 #소녀시대,0
@kristapaige13 @LancelotMusic thank you Krista that means the world!!! so happy right now :D,0
Shits retarted...,1
HOPE IM UP IN AN HOUR FOR #420 #blaze #it,0
I posted a new photo to Facebook http://t.co/CN2h9rkhka,0
@tiamgriffin lick my nuts,1
Or Dm me your number and I'll call you ! 😏,0
RT @_adieuxx: I miss having a bed.,0
I'm going to have followers and we will preach our story to the world as one.,0
RT @oddestfacts: Not having enough sex can put you at risk of anxiety paranoia and depression.,0
RT @xoxo_Shaela: @TanniTaughtYou thanks baby 😊☺️,0
Im so chinky I can't even see out Of my eyes,0
RT @gemssjessup: The amount if hair that I lose in a day makes me wonder why I'm not bald yet,0
Just posted a photo http://t.co/HVrHGXocLY,0
Oh my god #2NE1  !!! My hands are #COMEBACKHOME freaking sweating !!,0
Dropped a fair amount of Tuneboy goodies lastnight and this morning. Always gets the crowd going.,0
You might experience a much-needed breakthrough on the financi... More for Scorpio http://t.co/car2kpjHyg,0
Doodoo head stopped replying too me,0
"RT @FunnyQuotees: naps are tricky because you either wake up refreshed and relaxed or you have a headache, dry throat, and are unaware of w…",0
"@NoelCT She's the only WoC on the show besides Bella, who was dying from the start. yes I get that he said it was planned since season 1",0
@christophuhh I didn't know you were awake 😁 I sent you an email,0
cody just made me hATE THE INTERNET,0
RT @RicoTheReaper: #ThisCouldBeUs But I'm Not Saving These Hoes 😂😂😫😂 http://t.co/zn9PEaNrC4,1
@Aodhnait_13 *watches you then tosses the small ball and chuckles as we both manage to get a few targets*,0
Not even tired tbh,0
Just posted a photo http://t.co/zJ2yufby8p,0
