text,label
text,0
I've had so fun today. But I'm going to be so sore tomorrow.,0
Bored then ah bitch wats goin down 2nite ??,1
@alexxisspaaigee lmao k alexis keep going,0
RT @TopRetweetMax: ➡️ RETWEET ➡️ ONLY ➡️ IF ➡️ YOU ➡️ FOLLOW ➡️ BACK ➡️ #RT2GAIN (Follow @TopRetweetMania) 79.97,0
@PhantomRat When are you publishing your book on the deeper meaning of television hair?,0
RT @For3JT: Everyone vote by tweeting #BYU #6thFan &amp; at http://t.co/5NN1bOGEd7 to help some #BleedBlue #BYUHoops fans! #GoCougs,0
"NEED MORE FOLLOWERS? 10,000 FOLLOWERS $39 USD, More info : http://t.co/mxOX4mt40R",0
What can you do that others can't do? — swag http://t.co/u3oi2uuzLa,0
RT @DennisSemrauWSJ: Sun Prairie's Jared Scharenbrock holds on to win 7-3 and become a two-time state champ.,0
"RT @FunSize_Que: I'd rather do what God says over anything, especially over my own ""thoughts"".. There's no good thing within my flesh anyway",0
@__k_5__  we ain't cool nomore 😂👋,0
"Thinkin both too.. not quite sure yet. Imma text yu my new # RT""@FinnKeys: @NubianBellah_03 might do both. What about you""",0
"RT @ismileycyruz: When people tell you you've changed, it's only because you stopped acting the way they want you to act.",0
Move on RT @MikeBrownLouKy: Juluis Randle was just named the On the Move Realtors U of K player of the game on the ESPN680 post game show!,0
😭😭😭#AI3Forever http://t.co/2LkE4JPZ6d,0
the day that @DaphneEgan &amp; I get to take disneyworld together will be the greatest day of my life probably even better than my birth,0
@ashtonetflix HES SHIRTLESS WITG A FUXKING CHILD,0
RT @LilSwaggaBoy910: This has been me Recently. http://t.co/59yfvoCLUQ,0
Can't get car oil off my hands -_-,0
Last Oneeee week. -_- — feeling alone,0
The Social Network ain't so bad.,0
China's human rifghts situation 'worst in decades': First year under president Xi Jinping sees the most severe... http://t.co/aM5VyGtSjd,0
"I’ve collected 3 Scrolls! http://t.co/oqHFNo030c #iphone,#iphonegames,#gameinsight",0
NO WONDER she unfollowed me ✋😒,0
I miss pinky,0
"@Luke5SOS I love your laugh :3 I love you. Follow me please? I am a nuisance to the world, do not ignore me :( SO MUCH ♥x2339",0
"RT @_Yourhiighness: Been had it, still got it bitch 💁",1
RT @RealShitOnlyy: I hate these blurred lines....,0
Vou cantar uma musica #BrazilWantsHIGHKICKTour,0
@Andrew_3000 trick daddy... Nobody's called me that since that one night,0
RT @NBA: #AI3Forever http://t.co/uIEGv6TQUO,0
@MarshaCollier @klout My pleasure :),0
RT @BaseballLegacy_: Retweet if you would want this in your backyard. 🙌🙌⚾️ http://t.co/1BpIFJDz2b,0
RT @BaseballLegacy_: Retweet if you would want this in your backyard. 🙌🙌⚾️ http://t.co/1BpIFJDz2b,0
Damn it I can't decide on what I want for dinner smh,0
"Ever since I started working 15 years ago in India, I had problems with: Powerful managers, Egoistic Intellectuals, Slick Marketing agents.",0
"RT @jgonzalez775: ღ Although I'm dealing with difficult challenges, I trust God to see me through. He's been faithful &amp; I believe He'll con…",0
an endless video compilation of shitty fast food restaurants trying to convince us that their slop is cooked by master chefs,1
@shelbsss41 you watched it,0
me all not it u this one was all if my they a that are this,0
@realcormega Tim Hardway?,0
Thinking should I jus let it slide an let it go or say something abou,0
@jenniferAHHOOH lmao! I'm gonna keep spamming you,0
