text,label
text,0
@liyanabatrisya_ x de wat pape,0
RT @aguywithnolife: me stopping for gas on my way to steal your man https://t.co/mcVdKrjia3,0
Another day without training,0
one person unfollowed me // automatically checked by http://t.co/KMiDbbhnzh,0
@drewteddybearr podriamos hablar por MD?:) xx,0
"his appearance is a long, thin scar running down the left side of his face #bot",0
"I've got all these didis clogging up my notification, didn't they get it when I said didi your shit somewhere else, or didis are gonna die",1
RT @DNews: The asteroid that caused mass extinction 66 million years ago drenched the world in acid rain: http://t.co/C1QbIlAVZx http://t.c…,0
hot brunette Russian teenager showening her beauty in hottie naked  http://t.co/8OeQJMYSl9 #porn #followback #teen #itunes,0
"RT @kapsology: Which media group posted fake letter of Shanti Bhushan &amp; later apologized for it?
Group: Mail Today( Aajtak)
http://t.co/v0o…",0
Mahal ko to ehh --&gt; #Happy47thMonthsaryVGPC t,0
"Prophat Muhammed (SAW)
""when Azan is Recited, STOP all ur Work,Even Reciting the Holy Quran""

so, plz consider da Wrks Praying Project",0
RT @_o_MARIELLE_o_: 【#RETWEET】 THIS! FOLLOW ME &amp; EVERYONE WHO #RT THIS FOR 25+ FOLLOWERS! #TeamFollowBack ✔ #FollowTrick ✔ #F4F ✔ #AnotherF…,0
Guess The @StarMovies_Ph http://t.co/OWlr4Ib1vv,0
Sore #ComateFams @mayashffina @nauraatthaya @finelaaaah @lauraputri3 @rismanurrohmah2 @BasyovaNirwanaa @Diiaaannnn_A @vanyarmdnty,0
RT @LAFRM600: ALL LAT HATING BAD 4 YO HEALTH #,0
Photoset: #DoctorWho #DrWho http://t.co/DnuYJ2wBcA,0
Late lunch (@ Pizza Hut Damansara Aliff) http://t.co/tBFzPOTiJl,0
"RT @AL3AQEED_85: The shia's terrorist women blocking roads 
#usa #un #uk #japan #paris #hwr @BarackObama @Al3AMEED_70 http://t.co/qZxIIrsXGW",0
I feel like im on top of the world with your love♡ http://t.co/SVOYEdcwIt,0
😂😂 RT @mslani125: RT @wavesz_57: 👀 RT @mslani125: I been drinkin 🍉🍉 😏 &lt; 😂😂,0
#nowPlaying Judee Sill - Enchanted Sky Machines on WOWRadio Where Women RULE!,0
"RT @KristineMaaarie: #CrushSanaKita kaso were like crappy dominoes, I fall for you but you fall for another.",0
"RT @NASA: As seen on #Cosmos: Earth, the Solar System, the Universe &amp; more--all being explored by @NASA http://t.co/Dp4ocrbAtk http://t.co/…",0
"Maka, an angel...? #SoulCool #Bot",0
CloseUpFRESH,0
"""@BloodyKy: @Gold_Chainz_ Happy trappy bday.
🌹😈"" 

Thank You ! 😘",0
RT @GonMYchest: “@RosesInBelAir: @maliachigh is this you 😖❤️❗️ lol that avi thoughhh❗️ http://t.co/B7eE1ub8Tv”,0
Add maths got me like http://t.co/cwEIOzPVEr,0
@fuckjoey ; Awwwh thank you ☺️ You're so amazing too 💕,0
oomf hoed me. LOL,1
"Today stats: 2 followers, No unfollowers via http://t.co/TFsHti9CSN",0
RT @nickygumbel: 5 frogs are sitting on a log. 4 decide to jump off. How many are left? Answer: 5. Why? Because deciding and doing are not …,0
RT @UKBanter: He must be wounded. http://t.co/HfEAZh9l6u,0
🌚🌑 youre so pretty and sweet😋,0
Seriously tho what the fuck,1
Without You (feat. Usher) - David Guetta http://t.co/EPg1aJfzlU #nowplaying #listenlive,0
RT @CitiesO: @SynergyOllie u ain't rostered,0
Kerry rejects Putin Ukraine meeting http://t.co/C8WE0qTrAf,0
@accountsresourc Thanks for following.,0
RT @psychxphilia: LOVING MYSELF WAS THE HARDEST THING TO DO AFTER YOU LEFT ME AND DIDN'T TELL ME WHY,0
New friends please? :( not fake friends,0
Robes and T-Pain takeover the Ville,0
RT @2040corea: RT IF YOU WANT MORE FOLLOWERS #TEAMFOLLOWBACK ✔ #TEAMAUTOFOLLOW ✔ #500ADAY ✔ #1000ADAY ✔ #TFB ✔ #F4F ✔ #FOLLOWME ✔ #TFBJP ✔ …,0
RT @EXOffical_: Sleepy~ http://t.co/tdNdNlTc6w,0
RT @501Awani: Day 4 #PrayForMH370 http://t.co/dlFi3uherQ,0
"The tips listed on this topic won’t certainly solve the problem of global warming, but if everyone of us did a... http://t.co/CEEeDIXiCq",0
RT @D2_Barney_McG: I'm going to double dunk my hobnob inside your warm cuppa rosey,0
RT @MTVUK: just farted and it smells really bad lol -calum,0
RT @CiaraEastell: @CommonFutrs @Tom_S_Dixon Life Scientific on @BBCRadio4 at 9am sounds worth a listen #makerspaces,0
RT @_phellynm: How can a plane just disappear two hours into the flight,0
A tiger doesn't change it's stripes.,0
"Planning things in your head, hoping one day it happens.",0
"I text you first everyday. But today I won't. Today, I want you to text me first. Today, I want you to miss me.",0
Slowly getting replaced and forgotten. But I mean Id rather be in someone's life who wants me there for me.,0
"@Evil_Miss_Ivy no, its just I'm going to be alone again.",0
"󾭩 ❤ 󾭩 To gain your angelic guidance for today, you can choose from any of the following sets of FREE message... http://t.co/rO5xBr4IyF",0
"Drama doesn't just walk into your life out of nowhere, you either create it, invite it, or associate with people that bring it.",0
@GabaPoppers AIYEEEE!!!! I can't wait!! :D,0
"""a Roman walks into a bar, hold two fingers and ask for 5 beers""",0
Wishing @gaildandy who is not only a lady I work with but a friend a very happy birthday! You are very loved and today we celebrate you 😘,0
"RT @jonathanend: People say ""I love you"" in many different words: http://t.co/1w3CuveeGG",0
"A good deed is never lost. Character is property, it is the noblest of possession.",0
RT @theyearofelan: Drinking game: take a shot every time you feel feelings until you stop feeling them,0
Niners better make some moves,0
Hilary Buff,0
http://t.co/Ogzk5N2vWq see THIS part is cool,0
RT @Parlez_me_nTory: BBC News - Lib Dem Stephen Williams attacks own department's policies http://t.co/AiJS9POqID,0
I liked a @YouTube video http://t.co/PGVr3HxPzK That Effing Show #64 - Sejarah Malaysia Revisited,0
"RT @beyoncedatassup: [year 2089]

the one direction fandom still be like:

#VoteDirectionersUK #KCA http://t.co/DziHGGEhEA",0
"@Chris_Chard @shotsheriff However, that is (or was in 2000) the largest self-supporting wooden roof worldwide",0
RT @BadGirIRihanna: You make me laugh when I'm not even in the mood to smile.,0
Sacred Heart has the best auditorium of life. Was good to go back and cheer on the young guns. Good… http://t.co/aYEacBgiy2,0
What a tiring day..,0
RT @WhennBoys: I want to be with you.. Everyday.,0
RT @Pooka_Blakes: RT @Thegooglefactz: Never depend too much on anyone in this world because even your own shadow leaves you when you're in …,0
"RT @TheHN10: omg!!!!!! rt ""@MartinGarrix: Last day in Australia.. tomorrow heading to Kuala Lumpur! So excited!!!""",0
RT @RT_com: 'Unrest in #Ukraine part of NATO's expansion plan' - former German MP &amp; Vice President of OSCE Assembly to RT http://t.co/4Oa9F…,0
My wishes: 1) To earn money without working. 2) To be smart without studying. 3) To love without being hurt. 4) To eat without getting fat.,0
"Parties of the dead, the bad and the manly - The Times of India http://t.co/mrwjZgHkmR",0
@smaer2_ #tricked,0
@nike2144 so i guess you're shit at cod then?,1
RT @justinbieber: @itsRyanButler love u bro,0
"RT @PeritusR2R: At Peritus we can help you find the opportunities that allow you to say that ""you can"" and ""you will"" #career #jobs http://…",0
RT @OttoKnows: What's big and grey and protects you from the rain?,0
RT @OttoKnows: How do elephants talk to each other long distance?,0
I'm going to kill Tina and Adarah,0
"Only Holmes kids would be down to fight, only if other schools were better.",0
i brought my 'chulmleigh community college yearbook committee' mug to work for my tea and now i feel like a reyt gay lord lol,0
Managed to wipe all my music . Praying to god the son has backed my phone up #begginingtohatethisphone,0
RT @SivinixTenpoles: I'am ganteng B-) #LikeABoss,0
I guess ima just smoke to some Kanye gbye,0
Fitness motivation http://t.co/WXcpWAT43I,0
"@thexfactor : please
gimme a sign that you see
me with a follow. My
entire life would be made
if you follow me.",0
"RT @NohandoutTriggs: Change is not always for the better, but who's to say we don't need it.",0
RT @justinbieber: my music is my heart,0
"RT @iRealFrankOcean: If you got me, I got you…",0
"#LinkedIn is great for connecting to your peers, but why end there? Generate real #leads with #social targeting: http://t.co/UcFZ7Pl5nn",0
"Longchamp bags,Up to 79% Off oakley sunglasses,Free Shipping,http://t.co/9RJHG3VVuK.",0
RT @eboy_a: “@CuntsWatching: No wonder the poor fuck can't walk. http://t.co/tLofcU8TGw” damn son!! Eeewwwww grossss 🙀🙀,1
RT @justinbieber: had fun the other night performing. now that @dankanter is here maybe we should do another acoustic show. maybe,0
Truee #VoteUKDirectioners #KCA http://t.co/XptrptIe5F,0
Voluntary smh RT @sicelohz: Forced or Voluntary sex? RT @Rabo__: Kenyan student(19) has had sex with 324 ... http://t.co/IdzIM0H1SS,0
Promo added for The Fosters for Episode 1.20 http://t.co/9Z7r1Q7nZA,0
RT @stellarustjo: Better and will also more more and continually,0
"sooner or later,I will know who's the hackers.",0
Wish there was a day where I was on time for something at least once 😠,0
RT @WhatTheFFacts: There is an actual equation that calculates how attractive someone's butt looks.,1
Plastic surgery isn't good enough for me. I want paper surgery.,0
RT @CuntsWatching: NOOOOOO this just popped up on my newsfeed http://t.co/ovFliCpzW3,0
I miss her so much.. Hmm,0
RT @TheLifeDiaries: I feel like an idiot for missing you.,0
"Today stats: One follower, 2 unfollowers and followed one person via http://t.co/YbpGmkge97",0
$18 fly 😭😭😭😭😭😭,0
RT @da13thsun: Do you know your complexion on the outside really tells how much you focus on the inside.  REAL TALK,0
I liked a @YouTube video http://t.co/ePtXE3NU3a Barbara Lahr - Breeze (Featuring Thomas Siffling &amp; The PSO),0
Vinyl Text Designer &amp; Printer  (Images and Media) - http://t.co/kyMLYAqGrW http://t.co/eWSR9bzr6W,0
RT @AVFC_headlines: AVFC_headlines. Paper Talk: United open Carvalho talks - TEAMtalk http://t.co/Z4kqhVZCvY,0
"@Gavi_B If any of my friends wake me up at 3am I no longer consider them my friends. Bitch, I be dreaming about Zac Efron, leave me alone.",1
@TheMattEspinosa Let me love you.,0
#NowPlaying Elton John - Are You Ready For Love - listen at http://t.co/93DxwTXSgq #ColneRadio,0
RT @JustTumbIr: I wish you were here.,0
There will be a little downtime in a bit!: Syria There will be a little downtime in a bit! Just so you know! J... http://t.co/wqwmLKJggi,0
"Big ass""@Abnormal_pikin: Girls named Bisola are known for___? #KirikiriStarByOzomsFtKfine""",1
This is it.,0
"Hoes be like eat my pussy. I be like, iight.",1
"RT @CuntsWatching: Why is this considered cool, he looks like a pedophile that forgot his PE kit http://t.co/5ln0vsKdzl",0
"@Absolute80s The Proclaimers, Cap in Hand",0
Plz RT Royals are expanding the Academy sessions.11-13 yo 6-7pm(starts wed 12th) 9-11 yo 6.30-7.30pm(starts Thu 27th)Waingels College,0
7 people unfollowed me // automatically checked by http://t.co/Inzb9FdUZr,0
@justinbieber @dankanter PLEASE FOLLOW ME🌸,0
Whoaahhhh,0
to for is have its and when one it that so you so when when just is if not my be it was rt when all rt in can for can rt rt to,0
I'm over here HOWLING. Y'all don't even know.,1
Don't lose sight of the future God has for you because you want to be comfortable right now.,0
@cheabaybay oooooh lol okay smh you a foo just don't eat no jack n the box ! 😂😂,1
RT @justinbieber: studio. always working,0
Almost 20 years on this is still a fantastic read. Can't recommend it highly enough. http://t.co/uj7F2GaliQ,0
"http://t.co/eXXE9luBCs
this domain for sale
Buy link
http://t.co/2evRSjrJru
#venturecapital 
#Entrepreneur
#Innovation 
#BigData",0
RT @takingphotos: Original Gift: Canon PowerShot ELPH 130 IS 16.0 MP Digital Camera with 8x Optical Zoom 28mm Wide-Angle Lens and... http:/…,0
I want to be a writer or a tech for volvo? Got a big financial choice to make here bluecollar or whitecollar futur,0
Dolphins earn at-large bid in D-II NCAA tourney: The Le Moyne men's basketball team is going dancing for the... http://t.co/aeDc1ZbaNf,0
"Today stats: One follower, No unfollowers and followed one person via http://t.co/MVM7WX86ca",0
Wishing you both everlasting love&amp;togetherness!,0
"@HowfenClaret hello there, yes! Man and boy.",0
RT @guardian_sport: This week in The Gallery … it's Felix Magath. Crumbs! http://t.co/7cm49Ol5rz http://t.co/3acAoiyW4O,0
"RT @thequote: A man has his clothes made to fit him, a woman makes herself fit her clothes.
 - Edgar Watson Howe",0
Better the devil you know than the devil you do not know.,0
@AhmadFaizzzz its a non binding price ceiling causing excess demand creating a shortage of goods in the market.,0
"The Legend of Zelda: Ocarina of Time 3D by Nintendo  (Jun 19, 2011) 
$39.99
 http://t.co/GyR0vDiGDV",0
RT @Myley_L: #TheMansion last show later at 5:30pm at MB Mini Auditorium! :),0
@Tre_ThaTruth what you was doing? Out boppin huh?,0
Breaking Newsstream: On the Murder of Nido Taniam ANAND TELTUMBDE http://t.co/9r4EAeHTNM,0
"RT @TheComedyJokes: A potato has skin. I have skin. Therefore, I am a Potato.",0
RT @CloverRF1M: Pwaying wiv tennis balls iz my favrite fing and being in garden of my own http://t.co/Q355KxfAUS,0
"Photographs, Photographers and Photography http://t.co/HNNBY0bFvX :: Marlboro Man",0
@stargatebarbie thanks xxx,0
"I'm not the type of person who waits for karma to punish you; I'm the type who will beat the hell out of you right here, right now.",1
Just so sad to hear that a PMA cadet who is supposed to be the salutatorian will not graduate with his class.,0
Can we start all over again? Do it right this time?,0
RT @dumbfoundead: accidentally facetiming your homie makes you look mad sus,1
RT @ASOT650_LA: @chris_mcdv8 @OmFlowerChild told you she's mean 😭😭😭😭,0
"RT @foodandtammy_: @Misquittafr ""awesomeness""",0
I'm on RT mode,0
RT @VesPichu: #DominicFord » @TommyDefendi Pounds @ArmondRizzoxxx ... a great start! http://t.co/dpawnG25f4,0
@KeagonIsaacs an excuse to see you this Saturday maybe? You told me you'd quit your job for me xxx,0
